               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 149,            0.024125,           0.0062993,                   0,             0.93188,             0.94444,             0.96693,             0.60992,            0.025832,           0.0052933,                   0,          0.00024195,          0.00024195,          0.00024195
                 150,            0.024277,           0.0066494,                   0,             0.94591,             0.93294,             0.96615,             0.61302,            0.024891,           0.0051544,                   0,          0.00023684,          0.00023684,          0.00023684
                 151,            0.025207,            0.006703,                   0,             0.94632,             0.93883,             0.96618,             0.62337,            0.024495,           0.0051298,                   0,           0.0002318,           0.0002318,           0.0002318
                 152,            0.024934,           0.0068597,                   0,             0.96224,              0.9073,             0.96393,             0.62225,            0.025417,           0.0051439,                   0,          0.00022684,          0.00022684,          0.00022684
                 153,            0.024849,           0.0067529,                   0,             0.92843,             0.94674,             0.96547,             0.61761,            0.025621,           0.0051993,                   0,          0.00022196,          0.00022196,          0.00022196
                 154,            0.023683,            0.006579,                   0,             0.94477,             0.94472,             0.96856,              0.6304,            0.025717,           0.0051845,                   0,          0.00021717,          0.00021717,          0.00021717
                 155,            0.023273,           0.0066661,                   0,             0.96165,              0.9428,             0.96775,             0.62985,            0.024956,           0.0051205,                   0,          0.00021245,          0.00021245,          0.00021245
                 156,            0.024713,           0.0069678,                   0,             0.94621,             0.93687,              0.9596,             0.62729,             0.02525,           0.0051448,                   0,          0.00020782,          0.00020782,          0.00020782
                 157,            0.023161,           0.0066026,                   0,             0.93346,             0.94071,             0.96443,             0.61859,            0.024807,           0.0051684,                   0,          0.00020327,          0.00020327,          0.00020327
                 158,            0.023258,           0.0065729,                   0,               0.957,             0.92308,             0.96285,             0.61582,            0.025168,           0.0052679,                   0,          0.00019881,          0.00019881,          0.00019881
                 159,            0.023894,           0.0064847,                   0,             0.92966,             0.94083,             0.96264,             0.62335,            0.024914,           0.0051985,                   0,          0.00019443,          0.00019443,          0.00019443
